City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,-17.18,78,75,0.0,US,1707250351
1,blackmans bay,-43.0167,147.3167,12.07,82,97,2.05,AU,1707250351
2,bilibino,68.0546,166.4372,-34.95,100,100,0.68,RU,1707250352
3,ribeira grande,38.5167,-28.7,17.1,94,75,13.89,PT,1707250353
4,pathein,16.7833,94.7333,22.58,67,0,4.51,MM,1707250354
5,bethel,41.3712,-73.414,6.05,48,0,4.12,US,1707250354
6,kaspiyskiy,45.3929,47.3707,0.84,68,61,7.5,RU,1707250355
7,dalandzadgad,43.5708,104.425,-15.46,79,4,0.75,MN,1707250356
8,tanguieta,10.6212,1.2665,25.88,16,12,2.67,BJ,1707250356
9,adamstown,-25.066,-130.1015,24.95,80,35,0.72,PN,1707250357
10,la passe,45.5549,-0.8967,10.55,91,100,4.28,FR,1707250358
11,carnarvon,-24.8667,113.6333,29.14,35,5,7.78,AU,1707250358
12,monteagudo,-19.8167,-63.9833,27.47,53,61,1.23,BO,1707250359
13,vorkuta,67.5,64.0,-23.49,97,100,2.02,RU,1707250360
14,totness,5.8833,-56.3167,27.13,84,48,6.98,SR,1707250361
15,vilyuysk,63.7553,121.6247,-29.44,100,100,0.45,RU,1707250361
16,griffith,41.5284,-87.4237,7.19,93,20,2.57,US,1707250362
17,thanh hoa,19.8,105.7667,20.27,95,100,2.33,VN,1707250363
18,puerto ayora,-0.7393,-90.3518,28.98,79,68,4.9,EC,1707250364
19,eregli,37.5133,34.0467,8.52,47,5,3.4,TR,1707250365
20,kindu,-2.95,25.95,21.53,96,100,1.2,CD,1707250365
21,ushuaia,-54.8,-68.3,18.79,36,0,1.54,AR,1707250366
22,kampene,-3.6,26.6667,20.61,99,100,1.29,CD,1707250367
23,hamilton,39.1834,-84.5333,9.77,59,0,2.57,US,1707249906
24,tolanaro,-25.0319,46.9987,22.72,97,100,2.66,MG,1707250368
25,grytviken,-54.2811,-36.5092,10.42,54,3,2.04,GS,1707250369
26,saint-francois,46.4154,3.9054,7.58,88,100,2.57,FR,1707250369
27,port-aux-francais,-49.35,70.2167,6.02,89,100,11.78,TF,1707250370
28,edinburgh of the seven seas,-37.0676,-12.3116,17.09,69,26,3.43,SH,1707250371
29,utrik,11.2278,169.8474,26.29,81,100,7.39,MH,1707250371
30,zaozersk,69.4005,32.4476,-19.44,98,91,4.1,RU,1707250372
31,ciudad insurgentes,25.2625,-111.7753,24.02,38,100,3.7,MX,1707250373
32,porto franco,-6.3383,-47.3992,28.21,75,100,1.61,BR,1707250374
33,kodiak,57.79,-152.4072,-3.27,86,0,0.0,US,1707250374
34,ostersund,63.1792,14.6357,-9.75,92,100,4.12,SE,1707250275
35,puerto san jose,13.9256,-90.8244,30.78,43,0,6.83,GT,1707250376
36,natal,-5.795,-35.2094,30.36,66,40,5.66,BR,1707250377
37,hawaiian paradise park,19.5933,-154.9731,22.8,87,100,2.57,US,1707250378
38,yellowknife,62.456,-114.3525,-17.55,84,100,5.66,CA,1707250379
39,ajdovscina,45.886,13.9095,10.06,94,100,1.48,SI,1707250379
40,lazaro cardenas,17.9583,-102.2,28.88,58,11,3.79,MX,1707250160
41,afaahiti,-17.75,-149.2833,27.93,86,100,8.65,PF,1707250381
42,camana,-16.6228,-72.7111,25.84,77,50,2.82,PE,1707250381
43,ilulissat,69.2167,-51.1,-11.99,48,75,9.77,GL,1707250382
44,stanley,54.868,-1.6985,3.77,74,20,4.63,GB,1707250383
45,antsiranana,-12.2787,49.2917,24.47,95,100,2.26,MG,1707250383
46,puerto natales,-51.7236,-72.4875,18.25,42,100,4.12,CL,1707250384
47,torremolinos,36.6204,-4.4998,16.57,51,0,4.12,ES,1707250385
48,atafu village,-8.5421,-172.5159,28.95,77,100,11.83,TK,1707250385
49,mount isa,-20.7333,139.5,26.87,65,100,3.6,AU,1707250386
50,praia da vitoria,38.7333,-27.0667,18.14,88,75,9.23,PT,1707250387
51,aasiaat,68.7098,-52.8699,-18.12,76,100,5.92,GL,1707250388
52,waitangi,-43.9535,-176.5597,18.79,91,100,1.79,NZ,1707250133
53,nema,57.5067,50.5011,-4.41,97,100,3.08,RU,1707250389
54,merano,46.6682,11.1595,10.88,62,100,1.2,IT,1707250390
55,dongkan,33.9997,119.8308,-0.92,78,82,2.95,CN,1707250390
56,merizo village,13.2658,144.6691,25.85,90,100,7.16,GU,1707250391
57,lihue,21.9789,-159.3672,23.58,73,75,10.8,US,1707250392
58,thompson,55.7435,-97.8558,-17.48,78,5,3.24,CA,1707250187
59,shuangjiang,26.1547,109.7138,-0.95,97,100,1.18,CN,1707250393
60,margaret river,-33.95,115.0667,16.14,66,0,5.34,AU,1707250394
61,port-vila,-17.7338,168.3219,26.84,83,100,3.59,VU,1707250394
62,papatowai,-46.5619,169.4708,12.22,91,93,3.83,NZ,1707250395
63,jiuquan,39.7432,98.5174,-8.04,85,100,0.94,CN,1707250396
64,london,51.5085,-0.1257,13.05,88,100,7.72,GB,1707250099
65,cururupu,-1.8283,-44.8683,28.08,79,70,3.04,BR,1707250397
66,arnsberg,51.3297,8.0071,10.51,81,100,8.45,DE,1707250383
67,tadine,-21.55,167.8833,25.99,82,100,7.65,NC,1707250398
68,roswell,34.0232,-84.3616,18.17,33,0,1.54,US,1707250346
69,palikir - national government center,6.9248,158.1611,26.71,77,77,6.43,FM,1707250400
70,whitehorse,60.7161,-135.0538,-17.21,97,97,2.05,CA,1707250297
71,invercargill,-46.4,168.35,13.34,93,76,4.47,NZ,1707250401
72,piti village,13.4626,144.6933,26.03,84,0,3.09,GU,1707250402
73,port mathurin,-19.6833,63.4167,27.17,69,70,8.32,MU,1707250403
74,tiksi,71.6872,128.8694,-23.78,98,99,2.67,RU,1707250403
75,naze,28.3667,129.4833,14.52,78,100,4.21,JP,1707250404
76,mournies,35.4764,24.0092,14.35,82,20,4.12,GR,1707250405
77,west island,-12.1568,96.8225,26.99,83,40,2.57,CC,1707250405
78,iqaluit,63.7506,-68.5145,-10.17,66,100,8.05,CA,1707250117
79,kanggye,40.9695,126.5852,-13.09,97,78,1.04,KP,1707250159
80,kirakira,-10.4544,161.9205,26.94,84,50,2.99,SB,1707250407
81,al jawf,29.5,38.75,10.97,51,5,0.42,SA,1707250408
82,kruisfontein,-34.0033,24.7314,21.6,85,47,3.9,ZA,1707250409
83,labrador city,52.9463,-66.9114,-6.05,45,20,3.09,CA,1707250409
84,kavaratti,10.5669,72.642,27.89,75,3,3.16,IN,1707250410
85,keflavik,64.0049,-22.5624,-1.76,69,75,9.26,IS,1707250411
86,ebon,4.582,168.6964,27.63,79,100,6.09,MH,1707250412
87,east london,-33.0153,27.9116,24.22,85,100,8.44,ZA,1707250412
88,jiangkou,25.4872,119.1986,10.13,82,100,6.42,CN,1707250413
89,thunder bay,48.4001,-89.3168,2.99,87,75,3.09,CA,1707250370
90,axim,4.8699,-2.2405,26.59,78,54,3.96,GH,1707250414
91,miramichi,47.0043,-65.4654,-0.92,87,100,3.06,CA,1707250415
92,port lavaca,28.615,-96.6261,21.84,54,0,0.0,US,1707250416
93,yarmouth,41.7057,-70.2286,2.27,83,100,9.39,US,1707250416
94,nivala,63.9167,24.9667,-16.59,99,92,1.59,FI,1707250417
95,fale old settlement,-9.3852,-171.2468,29.24,75,100,11.49,TK,1707250418
96,tvoroyri,61.5556,-6.8111,1.14,54,100,8.73,FO,1707250418
97,punta arenas,-53.15,-70.9167,15.06,51,0,9.26,CL,1707250334
98,talnakh,69.4865,88.3972,-24.36,88,100,3.18,RU,1707250420
99,klyuchi,52.2667,79.1667,-9.01,83,81,4.89,RU,1707250420
